Name,State,Region/Service Area,Geographic Context,Operator,System Type,Technology Vendor,Booking Method(s),Scheduling Window,Fare,Service Hours,Launch Year,Funding Source,Status/Maturity,Fleet,Ridership/Performance Notes,Website URL,Latitude,Longitude,Source
GoDurham Connect,NC,North Durham and East Durham zones,Urban,GoDurham,Microtransit,Via,"App, Web portal, Phone",Same-day,Free,Not specified,Not specified,Not specified,Active,Not specified,Future goal of 300 passenger trips per month.,https://godurhamtransit.org,36.03,-78.9,Original database
Morrisville Smart Shuttle,NC,Town of Morrisville (node-based),Suburban,GoCary (Tech by Via),Microtransit,Via,"App, Desktop application",Same-day,Free,Not specified,2021,"Federal, Local",Active,Not specified,"Provided over 89,000 rides from Oct 2021 through 2025.",https://www.townofmorrisville.org,35.83,-78.83,Original database
GoWake SmartRide NE,NC,"Rolesville, Wendell, Zebulon (Northeast Wake County)",Rural,GoWake,Microtransit,Uber,"Uber app, Phone",Same-day,Not specified,Not specified,Not specified,Not specified,Active,Not specified,Connects rural areas to larger transit networks.,https://gowake.org,35.87,-78.4,Original database
Johnston Quick Ride (JCATS),NC,Smithfield and Selma area,Rural,Johnston County Area Transit System,Microtransit,Not specified,Smartphone app,Same-day,Not specified,Not specified,Not specified,State (MEE-NC),Active,Not specified,"Part of the MEE-NC initiative. [NTD 2024: parent agency reported 120,984 total trips across all modes, 29 peak vehicles agency-wide; on-demand share is a subset]",https://www.johnstoncountync.org/transit,35.51,-78.34,Original database
RTP Connect,NC,Research Triangle Park (RTP),Suburban,GoTriangle and RTP,Microtransit,Not specified,Not specified,Same-day,Not specified,Not specified,Not specified,Not specified,Active,Not specified,Collaborative on-demand service.,https://www.rtp.org,35.9,-78.86,Original database
Orange County MOD,NC,Orange County,Rural,Orange County,Microtransit,Not specified,Not specified,Same-day,Not specified,Not specified,Not specified,Not specified,Active,Not specified,"On-demand service operating in the county. [NTD 2023: parent agency reported 29,279 total trips across all modes, 21 peak vehicles agency-wide; on-demand share is a subset]",Not specified,36.07,-79.1,Original database
Burke County Micro-Transit,NC,"Morganton, Drexel, Valdese, Rutherford College",Rural,Greenway Public Transportation (WPRTA),Microtransit,Not specified,Phone,Same-day,$2.50 (Cash),Not specified,2024,Not specified,Active - Post Pilot,Not specified,"Provided over 5,000 trips in its 2024 trial year.",https://greenwaypta.org,35.74,-81.68,Original database
Caldwell County Micro-Transit,NC,Lenoir and Hudson,Rural,Greenway Public Transportation (WPRTA),Microtransit,Not specified,Phone,Same-day,$2.50 (Cash),Not specified,Not specified,Not specified,Active,Not specified,"Part of the Greenway system which provides 250,000 boardings annually.",https://greenwaypta.org,35.91,-81.54,Original database
Wilson RIDE,NC,City of Wilson,Urban,City of Wilson (Tech by Via),Microtransit,Via,"App, Phone",Same-day,Not specified,Not specified,2021,Federal (AIM Grant),Active,Not specified,"Monthly rides grew 58% from 9,000 (Mar 2021) to 14,200 (Feb 2022).",https://www.wilsonnc.org,35.72,-77.92,Original database
RideMICRO,NC,"5 zones in New Hanover, Pender, and Brunswick counties",Suburban,Wave Transit,Microtransit,Not specified,"App, Web portal, Phone",Same-day,$2.00,Not specified,2022,Not specified,Active,Not specified,"1,730 passengers in June 2024; daily passengers up 800% since 2022 launch. [NTD 2024: parent agency reported 715,814 total trips across all modes, 44 peak vehicles agency-wide; on-demand share is a subset]",https://wavetransit.com/ridemicro,34.23,-77.95,Original database
